0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,
0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,
0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,
0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,1   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,
0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,0   ,16  ,17  ,18  ,19  ,20  ,21  ,22  ,23  ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,2   ,
0   ,0   ,0   ,0   ,0   ,0   ,80  ,81  ,82  ,83  ,8   ,8   ,8   ,8   ,8   ,8   ,24  ,25  ,26  ,27  ,2   ,2   ,2   ,2   ,2   ,2   ,
0   ,0   ,0   ,0   ,0   ,78  ,79  ,15  ,15  ,15  ,8   ,8   ,8   ,8   ,8   ,8   ,9   ,9   ,9   ,28  ,29  ,2   ,2   ,2   ,2   ,2   ,
0   ,0   ,0   ,0   ,0   ,77  ,15  ,15  ,15  ,15  ,15  ,8   ,8   ,8   ,8   ,9   ,9   ,9   ,9   ,9   ,30  ,2   ,2   ,2   ,2   ,2   ,
0   ,0   ,0   ,0   ,0   ,76  ,15  ,15  ,15  ,15  ,15  ,8   ,8   ,8   ,8   ,9   ,9   ,9   ,9   ,9   ,31  ,2   ,2   ,2   ,2   ,2   ,
3   ,3   ,3   ,3   ,74  ,75  ,15  ,15  ,15  ,15  ,15  ,84  ,84  ,84  ,84  ,9   ,9   ,9   ,9   ,9   ,32  ,33  ,4   ,4   ,4   ,4   ,
3   ,3   ,3   ,3   ,73  ,14  ,14  ,15  ,15  ,15  ,84  ,84  ,84  ,84  ,84  ,84  ,9   ,9   ,9   ,10  ,10  ,34  ,4   ,4   ,4   ,4   ,
3   ,3   ,3   ,3   ,72  ,14  ,14  ,14  ,14  ,84  ,84  ,84  ,84  ,84  ,84  ,84  ,84  ,10  ,10  ,10  ,10  ,35  ,4   ,4   ,4   ,4   ,
3   ,3   ,3   ,3   ,71  ,14  ,14  ,14  ,14  ,84  ,84  ,84  ,84  ,84  ,84  ,84  ,84  ,10  ,10  ,10  ,10  ,36  ,4   ,4   ,4   ,4   ,
3   ,3   ,3   ,3   ,70  ,14  ,14  ,14  ,14  ,84  ,84  ,84  ,84  ,84  ,84  ,84  ,84  ,10  ,10  ,10  ,10  ,37  ,4   ,4   ,4   ,4   ,
3   ,3   ,3   ,3   ,69  ,14  ,14  ,14  ,14  ,84  ,84  ,84  ,84  ,84  ,84  ,84  ,84  ,10  ,10  ,10  ,10  ,38  ,4   ,4   ,4   ,4   ,
3   ,3   ,3   ,3   ,68  ,14  ,14  ,13  ,13  ,13  ,84  ,84  ,84  ,84  ,84  ,84  ,11  ,11  ,11  ,10  ,10  ,39  ,4   ,4   ,4   ,4   ,
3   ,3   ,3   ,3   ,67  ,66  ,13  ,13  ,13  ,13  ,13  ,84  ,84  ,84  ,84  ,11  ,11  ,11  ,11  ,11  ,41  ,40  ,4   ,4   ,4   ,4   ,
5   ,5   ,5   ,5   ,5   ,65  ,13  ,13  ,13  ,13  ,13  ,12  ,12  ,12  ,12  ,11  ,11  ,11  ,11  ,11  ,42  ,7   ,7   ,7   ,7   ,7   ,
5   ,5   ,5   ,5   ,5   ,64  ,13  ,13  ,13  ,13  ,13  ,12  ,12  ,12  ,12  ,11  ,11  ,11  ,11  ,11  ,43  ,7   ,7   ,7   ,7   ,7   ,
5   ,5   ,5   ,5   ,5   ,63  ,62  ,13  ,13  ,13  ,12  ,12  ,12  ,12  ,12  ,12  ,11  ,11  ,11  ,45  ,44  ,7   ,7   ,7   ,7   ,7   ,
5   ,5   ,5   ,5   ,5   ,5   ,61  ,60  ,59  ,58  ,12  ,12  ,12  ,12  ,12  ,12  ,49  ,48  ,47  ,46  ,7   ,7   ,7   ,7   ,7   ,7   ,
5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,57  ,56  ,55  ,54  ,53  ,52  ,51  ,50  ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,
5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,6   ,6   ,6   ,6   ,6   ,6   ,6   ,6   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,
5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,6   ,6   ,6   ,6   ,6   ,6   ,6   ,6   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,
5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,6   ,6   ,6   ,6   ,6   ,6   ,6   ,6   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,
5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,5   ,6   ,6   ,6   ,6   ,6   ,6   ,6   ,6   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7   ,7
